no,elapsed_ms,waktu,sample_id,batch_id,label,mq135_ratio,mq3_ratio,mq4_ratio,tgs_ratio,suhu,lembap
138,68814,23.38.12,1,NASI-1,LAYAK,0.986,0.971,1.0453,1.0623,31.2,100.0
139,69228,23.38.12,1,NASI-1,LAYAK,1.0087,0.9876,1.0644,1.0882,31.2,100.0
140,69634,23.38.13,1,NASI-1,LAYAK,0.9821,0.9683,1.0418,1.0623,31.2,100.0
141,70248,23.38.13,1,NASI-1,LAYAK,0.9976,0.9737,1.0516,1.0744,31.2,100.0
142,70658,23.38.14,1,NASI-1,LAYAK,0.9806,0.9683,1.0474,1.0631,31.2,100.0
143,71272,23.38.14,1,NASI-1,LAYAK,0.9906,0.9649,1.046,1.0679,31.2,100.0
144,71681,23.38.15,1,NASI-1,LAYAK,1.0055,0.9793,1.0587,1.0752,31.2,100.0
145,72296,23.38.15,1,NASI-1,LAYAK,1.0047,0.9827,1.0615,1.0858,31.2,100.0
146,72709,23.38.16,1,NASI-1,LAYAK,1.0143,0.9939,1.0751,1.099,31.2,100.0
147,73334,23.38.16,1,NASI-1,LAYAK,0.9891,0.9848,1.0651,1.0882,31.2,100.0
148,73730,23.38.17,1,NASI-1,LAYAK,1.0119,0.9982,1.0744,1.1024,31.2,100.0
149,74139,23.38.17,1,NASI-1,LAYAK,1.0032,0.9806,1.0636,1.0825,31.2,100.0
150,74754,23.38.18,1,NASI-1,LAYAK,1.0016,0.9806,1.0636,1.0792,31.2,100.0
151,75163,23.38.18,1,NASI-1,LAYAK,0.9906,0.9696,1.0516,1.0679,31.2,100.0
152,75778,23.38.19,1,NASI-1,LAYAK,1.0111,0.9841,1.0629,1.0882,31.2,100.0
153,76188,23.38.19,1,NASI-1,LAYAK,1.0071,0.9841,1.0615,1.0882,31.2,100.0
154,76802,23.38.20,1,NASI-1,LAYAK,1.0071,0.9862,1.0644,1.0891,31.2,100.0
155,77211,23.38.20,1,NASI-1,LAYAK,1.02,1.001,1.0816,1.1058,31.2,100.0
156,77621,23.38.20,1,NASI-1,LAYAK,1.0055,0.9827,1.0715,1.0882,31.2,100.0
157,78236,23.38.21,1,NASI-1,LAYAK,1.0111,0.9862,1.0694,1.0907,31.2,100.0
158,78645,23.38.22,1,NASI-1,LAYAK,1.0047,0.9869,1.0644,1.0882,31.2,100.0
159,79261,23.38.22,1,NASI-1,LAYAK,1.0208,1.001,1.0809,1.1091,31.2,100.0
160,79672,23.38.23,1,NASI-1,LAYAK,1.0055,0.989,1.0686,1.0882,31.2,100.0
161,80284,23.38.23,1,NASI-1,LAYAK,1.0079,0.9841,1.0679,1.0866,31.2,100.0
162,80692,23.38.24,1,NASI-1,LAYAK,1.0135,1.0068,1.0766,1.0999,31.2,100.0
163,81308,23.38.24,1,NASI-1,LAYAK,1.0071,0.9911,1.0701,1.0907,31.2,100.0
164,81719,23.38.25,1,NASI-1,LAYAK,1.0281,1.0017,1.086,1.1134,31.2,100.0
165,82127,23.38.25,1,NASI-1,LAYAK,1.0143,0.9897,1.073,1.0907,31.2,100.0
166,82743,23.38.26,1,NASI-1,LAYAK,1.0331,0.9946,1.0751,1.099,31.2,100.0
167,83151,23.38.26,1,NASI-1,LAYAK,1.0135,0.9932,1.0751,1.0957,31.2,100.0
168,83767,23.38.27,1,NASI-1,LAYAK,1.0306,1.0096,1.0919,1.1176,31.2,100.0
169,84183,23.38.27,1,NASI-1,LAYAK,1.0119,0.9939,1.0744,1.0957,31.2,100.0
170,84790,23.38.28,1,NASI-1,LAYAK,0.9906,0.9946,1.0758,1.1024,31.1,100.0
171,85198,23.38.28,1,NASI-1,LAYAK,1.038,1.0169,1.0985,1.1341,31.1,100.0
172,85814,23.38.29,1,NASI-1,LAYAK,1.0167,0.9982,1.0802,1.1074,31.1,100.0
173,86223,23.38.29,1,NASI-1,LAYAK,1.0143,0.9939,1.078,1.11,31.1,100.0
174,86633,23.38.29,1,NASI-1,LAYAK,1.0151,0.9939,1.0758,1.1041,31.1,100.0
175,87247,23.38.30,1,NASI-1,LAYAK,1.0159,0.9939,1.0787,1.1041,31.1,100.0
176,87657,23.38.31,1,NASI-1,LAYAK,1.02,0.9975,1.0816,1.1083,31.1,100.0
177,88271,23.38.31,1,NASI-1,LAYAK,1.0184,0.9954,1.0773,1.1024,31.1,100.0
178,88681,23.38.32,1,NASI-1,LAYAK,1.0232,0.9946,1.0773,1.1066,31.1,100.0
179,89295,23.38.32,1,NASI-1,LAYAK,1.02,0.9946,1.0802,1.1032,31.1,100.0
180,89705,23.38.33,1,NASI-1,LAYAK,1.0314,1.0089,1.0889,1.1228,31.2,99.9
181,90322,23.38.33,1,NASI-1,LAYAK,1.0265,1.0075,1.0868,1.1083,31.2,99.9
182,90729,23.38.34,1,NASI-1,LAYAK,1.0422,1.0176,1.103,1.1289,31.2,99.9
183,91148,23.38.34,1,NASI-1,LAYAK,1.0306,1.0046,1.0919,1.1151,31.2,99.9
184,91753,23.38.35,1,NASI-1,LAYAK,1.0281,1.0053,1.0904,1.1151,31.2,99.9
185,92163,23.38.35,1,NASI-1,LAYAK,1.029,1.0053,1.0904,1.1151,31.1,100.0
186,92777,23.38.36,1,NASI-1,LAYAK,1.0298,1.0046,1.0904,1.1125,31.1,100.0
187,93187,23.38.36,1,NASI-1,LAYAK,1.0265,1.0025,1.0853,1.1108,31.1,100.0
188,93801,23.38.37,1,NASI-1,LAYAK,1.0265,1.0032,1.0875,1.1142,31.1,100.0
189,94211,23.38.37,1,NASI-1,LAYAK,1.0347,1.0169,1.0993,1.1297,31.1,100.0
190,94620,23.38.37,1,NASI-1,LAYAK,1.029,1.0025,1.0875,1.1151,31.1,100.0
191,95234,23.38.38,1,NASI-1,LAYAK,1.029,1.0039,1.0882,1.1159,31.1,100.0
192,95644,23.38.39,1,NASI-1,LAYAK,1.029,1.0039,1.0904,1.1151,31.1,100.0
193,96259,23.38.39,1,NASI-1,LAYAK,1.0273,1.0003,1.0868,1.1151,31.1,100.0
194,96668,23.38.40,1,NASI-1,LAYAK,1.0232,1.0032,1.0889,1.1151,31.1,100.0
195,97283,23.38.40,1,NASI-1,LAYAK,1.0216,0.9939,1.0846,1.1134,31.1,100.0
196,97692,23.38.41,1,NASI-1,LAYAK,1.0298,1.0046,1.0948,1.1176,31.1,100.0
197,98307,23.38.41,1,NASI-1,LAYAK,1.0192,0.9939,1.0816,1.1032,31.1,100.0
198,98717,23.38.42,1,NASI-1,LAYAK,1.0298,1.014,1.0963,1.1237,31.1,100.0
199,99126,23.38.42,1,NASI-1,LAYAK,1.0232,0.9975,1.0831,1.1041,31.1,100.0
200,99740,23.38.43,1,NASI-1,LAYAK,1.0176,0.9961,1.0795,1.1091,31.1,100.0
201,361282,23.43.04,1,NASI-1,LAYAK,0.8857,0.8701,0.9931,0.9821,30.1,95.4
202,361691,23.43.05,1,NASI-1,LAYAK,0.8937,0.8791,1.0198,0.9908,30.1,95.4
203,362306,23.43.05,1,NASI-1,LAYAK,0.8863,0.8701,0.9905,0.9836,30.2,95.7
204,362716,23.43.06,1,NASI-1,LAYAK,0.8944,0.8791,1.0198,0.9966,30.2,95.7
205,363336,23.43.06,1,NASI-1,LAYAK,0.887,0.8695,0.9892,0.9821,30.2,95.7
206,363741,23.43.07,1,NASI-1,LAYAK,0.8978,0.8803,1.0198,0.9981,30.2,95.7
207,364152,23.43.07,1,NASI-1,LAYAK,0.8837,0.8701,0.9879,0.9793,30.2,95.7
208,364764,23.43.08,1,NASI-1,LAYAK,0.8984,0.8845,1.0198,0.9996,30.2,96.5
209,365174,23.43.08,1,NASI-1,LAYAK,0.887,0.8683,0.9866,0.9829,30.2,96.5
210,365788,23.43.09,1,NASI-1,LAYAK,0.8863,0.8695,0.9872,0.985,30.2,96.5
211,366300,23.43.09,1,NASI-1,LAYAK,0.8978,0.8827,0.9911,1.0003,30.2,96.5
212,366812,23.43.10,1,NASI-1,LAYAK,0.8957,0.8779,0.9944,0.9944,30.2,96.5
213,367234,23.43.10,1,NASI-1,LAYAK,0.8971,0.8803,0.9938,0.9937,30.2,97.0
214,367632,23.43.10,1,NASI-1,LAYAK,0.887,0.8695,0.9801,0.98,30.2,97.0
215,368246,23.43.11,1,NASI-1,LAYAK,0.8824,0.8695,0.9807,0.9821,30.2,97.0
216,368758,23.43.12,1,NASI-1,LAYAK,0.8863,0.8695,0.9814,0.9786,30.2,97.0
217,369270,23.43.12,1,NASI-1,LAYAK,0.887,0.8695,0.9814,0.9814,30.2,97.0
218,369680,23.43.13,1,NASI-1,LAYAK,0.887,0.8689,0.9788,0.98,30.2,97.3
219,370294,23.43.13,1,NASI-1,LAYAK,0.887,0.8701,0.9781,0.9843,30.2,97.3
220,370713,23.43.14,1,NASI-1,LAYAK,0.8964,0.8803,0.9938,0.9937,30.2,97.3
221,371318,23.43.14,1,NASI-1,LAYAK,0.8877,0.8701,0.9801,0.9807,30.2,97.3
222,371728,23.43.15,1,NASI-1,LAYAK,0.8903,0.8791,0.9931,0.9959,30.2,97.3
223,372137,23.43.15,1,NASI-1,LAYAK,0.8857,0.8683,0.9827,0.9786,30.2,97.9
224,372752,23.43.16,1,NASI-1,LAYAK,0.8843,0.8677,0.9801,0.9793,30.2,97.9
225,373161,23.43.16,1,NASI-1,LAYAK,0.883,0.8695,0.9827,0.9786,30.2,97.9
226,373776,23.43.17,1,NASI-1,LAYAK,0.8863,0.8701,0.9866,0.98,30.2,97.9
227,374186,23.43.17,1,NASI-1,LAYAK,0.885,0.8701,0.9872,0.98,30.2,97.9
228,374800,23.43.18,1,NASI-1,LAYAK,0.887,0.8695,0.9872,0.9807,30.2,98.2
229,375209,23.43.18,1,NASI-1,LAYAK,0.8964,0.8797,0.9984,0.9974,30.2,98.2
230,375824,23.43.19,1,NASI-1,LAYAK,0.8706,0.8559,0.973,0.9672,30.2,98.2
231,376233,23.43.19,1,NASI-1,LAYAK,0.8964,0.8803,1.0037,0.9996,30.2,98.2
232,376643,23.43.20,1,NASI-1,LAYAK,0.887,0.8701,0.9918,0.9821,30.2,98.2
233,377258,23.43.20,1,NASI-1,LAYAK,0.8903,0.8695,0.9938,0.985,30.2,98.4
234,377667,23.43.21,1,NASI-1,LAYAK,0.887,0.8707,0.9885,0.9857,30.2,98.4
235,378282,23.43.21,1,NASI-1,LAYAK,0.889,0.8713,0.9905,0.9786,30.2,98.4
236,378693,23.43.22,1,NASI-1,LAYAK,0.8863,0.8707,0.9872,0.9843,30.2,98.4
